id,entext
500071, ""
500072, "You resemble an adventurer rather than a doctor."
500073, "How is it that you know me?"
500074, "Who are you?"
500075, "I saw you in a dream. Don't flatter yourself, my desires have nothing to do with that. I simply saw you take us all by the throat."
500076, "I am Maria, daughter to Victor Kain. My father rules this town. My mother has built it."
500077, "What else did you see in that dream?"
500078, "Cruel words."
500079, "But also honest. What's so bad about it anyway? The strong manipulate the weak when they want to."
500080, "Then it is all in my hands."
500081, "I'll tell you when I think I can trust you."
500083, "I hope that happens soon."
500084, "You're an arrogant girl, aren't you?"
500085, "Nice to meet you."
500086, "I am an adventurer."
500087, "Appearances can be deceiving."
500128, "--- node is deleted ---"
500169, ""
500170, "I see the reflection of my epiphanies in your eyes. Who are you, my long-awaited guest?"
500171, "What do you mean by that?"
500172, "I'm Daniil Dankovsky."
500174, "You are a good person to drink with and talk to. You will make no mistake by calling me Peter. You can call me Andrey too, just for the sake of diversity, and it won't be wrong either."
500175, "This means that the man standing before me is able to see what others cannot. My name is Peter and I have built quite a few things upon this stone already. Are you a geometrician?"
500176, "I am."
500177, "I'm a bachelor of medicine, but I love mechanics and I used to love math."
500178, "What do you mean?"
500179, "So, you are capable of love too... That's truly beautiful. Many in this town are in love, but none of them are loving... Oh, I'm talking drivel."
500180, "It's been my dream for quite some time to have a drink with a mathematician."
500181, "Who are you?"
500182, "Are you a mathematician yourself?"
500183, "Question time will be later. Let's drink some twyrine to our acquaintance, and don't you dare insult me by refusing. There is a retort in one of the cupboards. I think... I think I didn't smash it yesterday... I was so pissed..."
500184, "Thank you. I'll drink to your wit."
500185, "I don't drink at work."
500186, ""
500187, "I see the dust of my beloved Capital on this man's feet! Ta-dah! I bet you must have met me."
500188, "It's the other way round though, isn't it? In any case, I don't think I've had the pleasure of meeting you."
500189, "I'm Andrey. Andrey, not Peter; don't you dare call me that. I'm quite a quarreller-and I don't want to discredit my soulmate!"
500190, "Never."
500191, "Andrey Stamatin, sentenced to death in four countries, at your service! Rejoice and sing, those of you who are not looking for me to die!"
500192, "Do you have a split personality disorder or something?"
500193, "You won't discredit him-not in my eyes anyway."
500196, "Twins are the two sides of a single person. Each of them pulls in their own direction. Each sees their own side of things."
500197, "I'd sing, but a single voice-even if it's singing-doesn't change much..."
500198, "What were you sentenced to death for?"
500199, "I am luckier than you. I have a beloved brother."
500200, "You guys must be quite attached to each other."
500203, "I hope to see you two side by side some day."
500204, ""
500205, "What the hell are you doing here, doc?"
500206, "Watch your tongue, kid, or you'll get a beating."
500207, "How do you know I'm a doctor?"
500208, "Whoa! You beat children?"
500209, "I don't. I also do not consider little brats like you children."
500210, "Of course I do."
500211, "Fair enough. Stay away from us and our animals. We are the Order of the Soul-and-a-Halves!"
500212, "Well... When the Soul-and-a-Halves get here, they'll remind you of what you just said."
500213, "What is the Order of the Soul-and-a-Halves?"
500214, "Curiosity killed the cat, doc."
500215, "At least give me some hints as to how they look so that I know when that happens."
500216, "Well, I'm not a cat person."
500217, "Everyone does. I'm Chieftain Notkin. If you see a big grey cat around here, call him Artist."
500218, "I will-if he calls me Bachelor."
500219, "I'm not really a cat person."
500220, ""
500221, "Oh, that is really too much... Who the hell are you? Why have you donned this dreadful outfit?"
500280, "--- node deleted ---"
500286, ""
