id,hex
500071 ,  \x67\xa1\x07\x00
500072 ,  \x68\xa1\x07\x00
500073 ,  \x69\xa1\x07\x00
500074 ,  \x6a\xa1\x07\x00
500075 ,  \x6b\xa1\x07\x00
500076 ,  \x6c\xa1\x07\x00
500077 ,  \x6d\xa1\x07\x00
500078 ,  \x6e\xa1\x07\x00
500079 ,  \x6f\xa1\x07\x00
500080 ,  \x70\xa1\x07\x00
500081 ,  \x71\xa1\x07\x00
500083 ,  \x73\xa1\x07\x00
500084 ,  \x74\xa1\x07\x00
500085 ,  \x75\xa1\x07\x00
500086 ,  \x76\xa1\x07\x00
500087 ,  \x77\xa1\x07\x00
500128 ,  \xa0\xa1\x07\x00
500169 ,  \xc9\xa1\x07\x00
500170 ,  \xca\xa1\x07\x00
500171 ,  \xcb\xa1\x07\x00
500172 ,  \xcc\xa1\x07\x00
500174 ,  \xce\xa1\x07\x00
500175 ,  \xcf\xa1\x07\x00
500176 ,  \xd0\xa1\x07\x00
500177 ,  \xd1\xa1\x07\x00
500178 ,  \xd2\xa1\x07\x00
500179 ,  \xd3\xa1\x07\x00
500180 ,  \xd4\xa1\x07\x00
500181 ,  \xd5\xa1\x07\x00
500182 ,  \xd6\xa1\x07\x00
500183 ,  \xd7\xa1\x07\x00
500184 ,  \xd8\xa1\x07\x00
500185 ,  \xd9\xa1\x07\x00
500186 ,  \xda\xa1\x07\x00
500187 ,  \xdb\xa1\x07\x00
500188 ,  \xdc\xa1\x07\x00
500189 ,  \xdd\xa1\x07\x00
500190 ,  \xde\xa1\x07\x00
500191 ,  \xdf\xa1\x07\x00
500192 ,  \xe0\xa1\x07\x00
500193 ,  \xe1\xa1\x07\x00
500196 ,  \xe4\xa1\x07\x00
500197 ,  \xe5\xa1\x07\x00
500198 ,  \xe6\xa1\x07\x00
500199 ,  \xe7\xa1\x07\x00
500200 ,  \xe8\xa1\x07\x00
500203 ,  \xeb\xa1\x07\x00
500204 ,  \xec\xa1\x07\x00
500205 ,  \xed\xa1\x07\x00
500206 ,  \xee\xa1\x07\x00
500207 ,  \xef\xa1\x07\x00
500208 ,  \xf0\xa1\x07\x00
500209 ,  \xf1\xa1\x07\x00
500210 ,  \xf2\xa1\x07\x00
500211 ,  \xf3\xa1\x07\x00
500212 ,  \xf4\xa1\x07\x00
500213 ,  \xf5\xa1\x07\x00
500214 ,  \xf6\xa1\x07\x00
500215 ,  \xf7\xa1\x07\x00
500216 ,  \xf8\xa1\x07\x00
500217 ,  \xf9\xa1\x07\x00
500218 ,  \xfa\xa1\x07\x00
500219 ,  \xfb\xa1\x07\x00
500220 ,  \xfc\xa1\x07\x00
500221 ,  \xfd\xa1\x07\x00
500280 ,  \x38\xa2\x07\x00
500286 ,  \x3e\xa2\x07\x00
500287 ,  \x3f\xa2\x07\x00
500288 ,  \x40\xa2\x07\x00
500289 ,  \x41\xa2\x07\x00
500290 ,  \x42\xa2\x07\x00
500291 ,  \x43\xa2\x07\x00
500292 ,  \x44\xa2\x07\x00
500293 ,  \x45\xa2\x07\x00
500294 ,  \x46\xa2\x07\x00
500295 ,  \x47\xa2\x07\x00
500296 ,  \x48\xa2\x07\x00
500297 ,  \x49\xa2\x07\x00
500298 ,  \x4a\xa2\x07\x00
500299 ,  \x4b\xa2\x07\x00
500300 ,  \x4c\xa2\x07\x00
500301 ,  \x4d\xa2\x07\x00
500302 ,  \x4e\xa2\x07\x00
500303 ,  \x4f\xa2\x07\x00
500304 ,  \x50\xa2\x07\x00
500305 ,  \x51\xa2\x07\x00
500306 ,  \x52\xa2\x07\x00
500307 ,  \x53\xa2\x07\x00
500324 ,  \x64\xa2\x07\x00
500325 ,  \x65\xa2\x07\x00
500326 ,  \x66\xa2\x07\x00
500327 ,  \x67\xa2\x07\x00
500328 ,  \x68\xa2\x07\x00
500329 ,  \x69\xa2\x07\x00
500330 ,  \x6a\xa2\x07\x00
500331 ,  \x6b\xa2\x07\x00
500333 ,  \x6d\xa2\x07\x00
500334 ,  \x6e\xa2\x07\x00
500335 ,  \x6f\xa2\x07\x00
500336 ,  \x70\xa2\x07\x00
500337 ,  \x71\xa2\x07\x00
500338 ,  \x72\xa2\x07\x00
500339 ,  \x73\xa2\x07\x00
500341 ,  \x75\xa2\x07\x00
500343 ,  \x77\xa2\x07\x00
500344 ,  \x78\xa2\x07\x00
500355 ,  \x83\xa2\x07\x00
500356 ,  \x84\xa2\x07\x00
500357 ,  \x85\xa2\x07\x00
500358 ,  \x86\xa2\x07\x00
500359 ,  \x87\xa2\x07\x00
500360 ,  \x88\xa2\x07\x00
500361 ,  \x89\xa2\x07\x00
500362 ,  \x8a\xa2\x07\x00
500363 ,  \x8b\xa2\x07\x00
500364 ,  \x8c\xa2\x07\x00
500365 ,  \x8d\xa2\x07\x00
500366 ,  \x8e\xa2\x07\x00
500367 ,  \x8f\xa2\x07\x00
500368 ,  \x90\xa2\x07\x00
500369 ,  \x91\xa2\x07\x00
500370 ,  \x92\xa2\x07\x00
500371 ,  \x93\xa2\x07\x00
500372 ,  \x94\xa2\x07\x00
500373 ,  \x95\xa2\x07\x00
500374 ,  \x96\xa2\x07\x00
500375 ,  \x97\xa2\x07\x00
